名称,所属类别,2级类别,时间,发源地,主要作用,重要意义,经纬度
冰窖冷藏,农业技术,存储技术,无,江苏;郑州市,江苏郑州市发展的冰窖冷藏技术，主要利用地下或地面建造的冰窖室，利用冬季寒冷的气候条件，储存冰块和冷却物品。冰窖冷藏通过控制储藏环境的温度和湿度，延长了农产品如果蔬、鱼类等的保鲜期限，保持其新鲜和营养成分，特别适用于夏季高温时段的食品保鲜需求。这项技术为古代社会提供了一种有效的食品储存解决方案，促进了农产品的贸易和消费习惯的改善。,冰窖冷藏技术通过构筑地下冰窖或采用自然低温条件实现对食品和农产品的长时间低温储存，不仅在古代解决了高温季节食物易腐问题，保障了民生需求，还为后来的制冷保鲜技术和现代冷链物流体系提供了理论依据和实践经验，推动了农业与食品工业的持续革新与进步。,"113.65,34.76"
石磨制粉,农业技术,加工技术,战国时期,江苏;苏州市,战国时期江苏苏州市发展的石磨制粉技术，主要用于粮食的研磨加工。石磨通过石轮碾压和磨碾的方式，将谷物研磨成粉，保留了谷物的营养成分和风味特性。这种加工技术提高了粮食利用率和食品品质，满足了社会对面粉等副食品的需求，促进了农产品的加工与市场交易，对农村经济和人民生活水平的提升起到了重要作用。,石磨制粉技术利用天然石磨对谷物进行反复研磨，实现了粮食向面粉等基本食品的转化，该技术不仅大幅提升了农产品的加工效率和食品品质，而且促进了传统食品工业与农业经济的深度融合，对后世机械化磨粉技术的革新及现代加工工艺的发展产生了长远而深刻的影响。,"120.58,31.30"
水碓舂米,农业技术,加工技术,汉朝,江苏;苏州市,汉朝江苏苏州市推广的水碓舂米加工技术，利用水力推动石碾或木碓进行米谷的碾磨和加工。水碓舂米不仅提高了米谷的生产效率和加工速度，还降低了农民的劳动强度，促进了米食品质的提升和市场供应的稳定。这项技术在古代农村生活中起到了重要的食品加工和经济交流作用，为粮食加工和食品供应链的发展奠定了基础。,水碓舂米技术以水力为动力对稻米进行舂打加工，使粮食处理更为高效均质，这一工艺不仅大幅降低了人力劳动强度，提升了食品加工的质量和效率，而且奠定了古代利用自然能源进行机械化加工的理论基础，对后世粮食加工技术的改进和农业产业升级产生了不可磨灭的推动作用。,"120.58,31.30"
纺车缫丝,农业技术,加工技术,春秋时期,河南;郑州市,春秋时期河南郑州市发展的纺车缫丝技术，是古代丝绸产业发展的关键技术之一。纺车缫丝通过机械化的丝绸加工方法，提高了丝绸的生产效率和质量，使得丝绸成为重要的商品和贸易产品。这项技术不仅推动了农村手工业的发展和经济的繁荣，还促进了区域间的文化交流和贸易活动，对古代经济和社会结构的演变产生了深远影响。,纺车缫丝技术通过使用纺车和缫丝工具对蚕茧进行连续加工提纯，实现了高质量丝绸的生产，不仅推动了丝绸产业的规模化和品质提升，促进了中外文化交流和经济贸易的发展，而且为后世纺织技术的革新和现代工业体系的形成提供了宝贵的历史经验和技术示范，具有极其深远的文化和经济意义。,"113.65,34.76"
榨油技术,农业技术,加工技术,春秋时期,江苏;苏州市,春秋时期江苏苏州市发展的榨油技术，主要用于油料作物如芝麻、菜籽等的油脂提取。榨油技术通过压榨或磨碾的方式，从油料中提取出高质量的食用油，满足了社会对食用油的需求，促进了农产品的深加工和市场供应。这种技术不仅丰富了人们的食用选择，还推动了农业产业链的完善和经济的发展，对古代农村经济的多样化贡献了重要力量。,榨油技术通过采用物理压榨等方法提取种子或果实中的油脂，实现了农业副产品的高效转化，该工艺不仅大大提升了农作物的附加值和食品多样性，而且推动了传统食品加工与化工技术的交叉发展，对后世油脂加工工艺的改进、相关产业链的形成以及经济结构的调整产生了重要而持久的影响。,"120.58,31.30"
造纸技术,农业技术,加工技术,战国时期,江苏;苏州市,战国时期江苏苏州市发展的造纸技术，是古代文化和教育发展的重要支撑。造纸技术通过纤维素纤维的提取和加工，制成纸张材料，支持书写记录和印刷出版的发展。这项技术不仅推动了书籍和文献的广泛传播，还促进了社会的学术和文化交流，对古代社会的政治、经济和文化发展具有深远影响。,造纸技术以纤维原料经过浆化、抄纸和干燥等工序制成纸张，不仅极大促进了文化知识的传播、教育的普及和行政管理效率的提升，而且为全球印刷业和信息传播方式的革命奠定了坚实基础，对世界文明的进程和后世各行各业的创新发展产生了不可磨灭的深远影响。,"120.58,31.30"
制糖工艺,农业技术,加工技术,无,四川;雅安市,虽然具体发展地无具体记载，但制糖工艺作为一种重要的农产品加工技术，主要用于从甘蔗、甜菜等作物中提取糖分。制糖技术通过磨碾、煮沸和结晶的方法，将植物中的糖分提纯成为食用糖，丰富了食品的种类和口味，促进了农产品的深加工和市场交易。这种技术不仅提高了农产品的经济价值，还推动了糖业的发展和商业贸易的繁荣，为古代经济和社会做出重要贡献。,制糖工艺通过对天然植物原料进行提取、结晶和精炼，制成糖品，不仅推动了古代食品加工技术的重大革新和饮食结构的转变，还促进了区域经济交流和商业贸易的发展，对后世糖业生产工艺的优化以及现代食品工业的形成产生了深远而积极的历史影响。,"103.00,29.98"
茶叶烘焙,农业技术,加工技术,东汉,四川;雅安市,东汉时期四川雅安市发展起来的茶叶烘焙技术，是提高茶叶质量和增加保存期的重要方法。茶叶烘焙通过适当的温度和时间控制，去除茶叶中的水分，稳定其内在成分，同时提升茶叶的香气和口感。这项技术不仅改善了茶叶的风味和商业价值，还促进了茶叶的流通和文化传播，成为茶文化发展的重要支撑。,茶叶烘焙技术在古代不仅促进了茶叶风味的多样化和品质提升，而且为茶文化的传播和饮食习惯的形成提供了技术支持，对推动区域经济发展和后代茶叶加工工艺的革新产生了深远影响，成为古代农产品深加工领域的重要里程碑。,"103.00,29.98"
棉纺工具,农业技术,加工技术,唐朝,广西;南宁市,唐朝广西南宁市推广的棉纺工具技术，主要用于棉花纤维的加工和纺织。棉纺工具包括纺车、纺纱机等，通过机械化的方式提高了棉纤维的纺制效率和纺线质量，推动了棉纺织品的生产和市场供应。这项技术不仅改善了纺织品的品质和生产效率，还促进了棉纺织业的发展，对唐代经济和社会的繁荣有着重要影响。,棉纺工具技术在古代纺织业中起到了关键作用，通过改良纺织工具提高了棉纺效率和纺织品质量，其推广不仅推动了当地经济繁荣和手工业发展，还为后世纺织工艺的精细化和机械化改造奠定了技术基础，产生了长远的文化与经济影响。,"108.33,22.84"
酿酒蒸馏,农业技术,加工技术,唐朝,暂无,虽然具体发展地暂无记载，但唐朝时期的酿酒蒸馏技术，主要用于提高酒精饮料的浓度和口感。酿酒蒸馏通过蒸馏设备将发酵后的酒液蒸馏出高度纯净的酒精，增强了酒的香气和口味，丰富了酒类产品的种类和质量，推动了酒文化的传播和经济的发展。,酿酒蒸馏技术在古代酒类加工中实现了原料酒的提纯和度数提升，其技术革新不仅满足了社会对高品质酒品的需求，还推动了酿酒工艺的科学研究和产品多样化，对文化交流和经济贸易的发展具有重要推动作用，并影响了后世酒类加工工艺的演变。,","
穗选法,农业技术,育种技术,唐朝,暂无,唐朝时期的穗选法是一种种植技术，主要用于提高作物的产量和质量。穗选法通过选择和保存优良的种子穗，保留了作物的优良遗传特性，促进了新一代作物的遗传改良和生长发育。这项技术在农业生产中起到了重要作用，推动了农产品的品质提升和农民生产效率的增加。,穗选法作为一种重要的育种技术，通过精心挑选优良穗体实现作物品种的改良，其应用不仅提高了作物产量和抗逆性，还为农业种植提供了科学育种思路，对农业生产方式的转型升级和后代高产优质品种的培育产生了深远的历史意义。,","
杂交优势,农业技术,育种技术,唐朝,江苏;南京市,唐朝江苏南京市发展的杂交优势技术，是一种育种方法，通过不同品种或种群的杂交结合，充分利用杂种优势，提高作物的抗病性、产量和适应性。杂交优势技术对于农作物的遗传改良和品种选育起到了关键作用，促进了农业生产的可持续发展和粮食供应的稳定性。,杂交优势技术体现了古代农学家在作物育种方面的前瞻性探索，通过合理搭配不同品种发挥基因互补效应，其应用不仅显著提升了作物的综合性能和产量，还为现代遗传改良和杂交育种理论奠定了基础，对农业生产效率和经济效益的长远提升具有不可磨灭的贡献。,"118.78,32.04"
嫁接技术,农业技术,育种技术,无,暂无,虽然具体发展地暂无记载，但嫁接技术作为一种古老的植物繁育方法，主要用于将不同植物的优良品种组合在一起，实现品种的快速改良和质量提升。嫁接技术不仅增加了作物的产量和抗病能力，还推广了优良品种的传播和应用，对古代农业生产和生态环境的保护有重要意义。,嫁接技术在古代育种实践中通过将优良品种嫁接到适应性强的砧木上，实现了果树和其他作物的快速改良和推广，其推广不仅优化了种植结构和产品质量，还为后世植物繁育和种质资源保存提供了宝贵经验，推动了农业多样性和持续生产模式的发展。,","
风选除杂,农业技术,育种技术,春秋时期,暂无,春秋时期发展的风选除杂技术，是一种传统的农作物加工方法，通过风力将作物中的杂质和轻杂物分离出来。风选除杂技术有效地减少了农产品中的杂质含量，提高了粮食的品质和市场竞争力，是古代农业生产中的重要环节之一，对粮食加工和贸易起到了关键作用。,风选除杂技术作为古代育种管理手段，通过利用自然风力对种子进行分选和清理，确保了种子纯净性和育种效果，其应用不仅提高了种子质量和发芽率，还对农业种子选育和大规模育种管理提供了科学依据，具有深远的农业历史和技术传承意义。,","
浸种催芽,农业技术,育种技术,无,暂无,虽然具体发展地暂无记载，但浸种催芽技术是一种种子处理方法，通过浸泡种子在适宜的水温和时间条件下，促进种子的发芽和生长。浸种催芽不仅提高了种子的发芽率和生长速度，还增强了作物的生长力和抗逆性，对农业生产的高效性和稳定性有着重要意义。,浸种催芽技术通过对种子进行适当浸泡和催芽处理，加速了种子萌发和幼苗生长，其推广不仅提高了农业生产的效率和作物生长均衡性，还为后世种子处理和育苗技术的发展提供了实验基础，推动了农业现代化进程和技术革新的历史步伐。,","
异地引种,农业技术,育种技术,无,江苏;苏州市,虽然具体发展地暂无记载，但异地引种技术作为一种种植方法，主要通过引入外来的优良作物品种，适应当地的生长环境，增加农作物的多样性和生产适应性。异地引种技术不仅丰富了农作物的遗传资源，还推动了农产品的多样化生产和市场供应，对于扩展农业生产空间和提高农产品质量具有重要意义。,异地引种技术体现了古代农学家在不同区域资源互补和优质品种推广方面的创新实践，通过引入外地优良作物品种实现农业结构优化，其推广不仅丰富了当地农作物品种，提高了农业产值，还为后世种植模式和区域经济交流搭建了技术桥梁，具有重要的历史意义和长远影响。,"120.58,31.30"
保纯栽培,农业技术,育种技术,无,江苏;苏州市,虽然具体发展地暂无记载，但保纯栽培技术是一种种植管理方法，主要用于保持作物品种的纯种性和遗传特性。保纯栽培通过科学的田间管理和选种策略，防止不同品种的杂交和混杂，保证了作物的品质稳定性和市场认可度，是古代农业生产中的重要技术支持。,保纯栽培技术在古代农业生产中通过严格控制种植材料和繁育过程，实现了作物品种的稳定传承和优良特性的保持，其应用不仅保障了农业生产的持续性和高产优质，还为现代种植业中品种保护和种质改良提供了科学依据，对农业遗传资源的保护和技术创新产生了深远的历史贡献。,"120.58,31.30"
绿肥轮作,农业技术,土壤改良技术,无,广西;南宁市,广西南宁市发展的绿肥轮作技术，是一种重要的土壤改良方法。通过种植绿肥作物（如豆科植物）在田间轮作，可以增加土壤的有机质含量，改善土壤结构，提高土壤保水保肥能力，同时抑制土壤病害和杂草生长。这项技术不仅能够提高农田的长期生产力和作物的产量稳定性，还有助于环境保护和可持续农业发展。,绿肥轮作技术通过引入绿肥作物与轮作制度，有效改善了土壤结构和肥力积累，不仅在当时促进了农业可持续发展，减轻了化肥依赖问题，而且为后代生态农业理念的形成和有机耕作模式的推广提供了宝贵的历史经验和技术示范。,"108.33,22.84"
砂田法,农业技术,土壤改良技术,春秋时期,河南;郑州市,春秋时期河南郑州市发展的砂田法，是一种针对砂质土壤的土壤改良技术。砂田法通过添加有机物质、石灰或其他土壤改良剂，改善砂质土壤的保水保肥能力和透气性，从而增加作物的生长根系活力和养分吸收能力，提高了砂质土壤的农业生产潜力和稳定性。,砂田法技术利用砂质土壤的特殊物理特性，通过合理调整耕作方法改善土壤水分保持与养分分布，其推广在当时有效提升了边际土地的利用率，并对后世土壤管理和改良技术的发展起到了启发作用，推动了农业生产方式的科学化转型。,"113.65,34.76"
淤泥肥田,农业技术,土壤改良技术,春秋时期,江苏;南京市,春秋时期江苏南京市采用的淤泥肥田技术，主要利用长江、淮河等河流冲积的淤泥，作为优质的有机肥料施入田间，以改良土壤质地和提升土壤肥力。淤泥肥田不仅增加了土壤的肥力和保水性，还改善了土壤的通气性和微生物活性，对提高农田的产量和土壤生态环境起到了重要作用。,淤泥肥田技术充分利用河流淤泥的天然肥力，将淤泥施入农田改善土壤质地与养分结构，其应用不仅大幅提高了作物产量和生长质量，还对后代土壤保护和资源循环利用理念的形成产生了深远影响，成为古代农业可持续发展的一项重要实践。,"118.78,32.04"
石灰改酸,农业技术,土壤改良技术,无,江苏;南京市,虽然具体发展地暂无记载，但石灰改酸技术作为一种土壤酸碱调节方法，主要用于调整土壤的pH值，使之适宜特定作物的生长需求。石灰改酸技术通过添加石灰石或石灰粉，中和土壤酸性，改善土壤结构和养分供应，从而增强作物对养分的吸收能力和抗病能力，促进了农作物的健康生长和高产稳产。,石灰改酸技术通过施用石灰中和酸性土壤，调节土壤pH值，改善作物生长环境，其推广不仅为当时克服土壤酸化问题提供了解决方案，而且为后世土壤化学改良理论和现代农业可持续发展策略奠定了科学基础，具有不可磨灭的历史意义。,"118.78,32.04"
休耕轮作,农业技术,土壤改良技术,无,江苏;南京市,虽然具体发展地暂无记载，但休耕轮作技术是一种传统的土壤保护和再生方法，通过定期休耕田地或将田地轮作为休耕期，使土壤得到充分恢复和修复。休耕轮作不仅有利于减少土壤侵蚀和养分流失，还能提高土壤的生物多样性和生态系统稳定性，对于长期维持农业生产的可持续性具有重要意义。,休耕轮作技术在农业生产中通过合理安排休耕与轮作周期，有效恢复土壤养分和微生物活性，其应用不仅缓解了连续耕作带来的土地退化问题，还为后代形成科学的农田管理制度和生态农业模式提供了理论依据和实践经验，推动了农业现代化进程。,"118.78,32.04"
秸秆还田,农业技术,土壤改良技术,无,江苏;南京市,虽然具体发展地暂无记载，但秸秆还田技术是一种利用秸秆作为有机肥料施入田间，促进土壤有机质含量和微生物活性的土壤改良方法。秸秆还田不仅能够改善土壤结构和保水能力，还能够减少化肥的使用量，降低农业生产的环境负荷，对于实现农业生产与环境保护的协调发展具有重要作用。,秸秆还田技术通过将作物秸秆还入田中，实现有机物质循环再利用，不仅在当时改善了土壤肥力和结构，降低了环境污染风险，而且对后世发展绿色农业和生态农业理念产生了深远影响，成为现代农业资源高效利用的重要历史借鉴。,"118.78,32.04"
盐碱地改良,农业技术,土壤改良技术,春秋时期,暂无,春秋时期暂无具体发展地的盐碱地改良技术，主要用于治理和利用盐碱化的土地资源。盐碱地改良技术通过淋洗、石灰化、排盐等方法，降低土壤盐碱度，恢复土壤的生产力和耕作能力，使之适宜农作物的生长和开发利用，对于改善土地质量和扩展农业用地具有重要意义。,盐碱地改良技术标志着古代对盐碱土地进行科学治理的早期探索，通过采取合理措施改良土壤结构和降低盐碱度，其推广不仅拓宽了耕地面积和提高了农业生产率，还为后代土地资源优化和现代农业生态恢复提供了理论启示和技术基础。,","
《河防令》,农业技术,防灾技术,秦朝,暂无,秦朝时期制定的《河防令》是一项旨在防止洪水灾害和保护农田的防灾技术措施。《河防令》通过规范河道管理、加固堤坝、修筑水利工程等手段，有效地减少了洪水对农田的危害，保障了农业生产的稳定性和安全性，对于维护社会稳定和提升人民生活质量具有重要作用。,《河防令》作为古代防灾技术的重要文献，通过规定河流治理和防洪措施，有效缓解了水患对农业生产和民生安全的威胁，其实施不仅在当时保障了社会稳定和农作物安全，还为后世水利工程建设和防灾减灾体系的建立奠定了制度基础，具有深远的历史意义。,","
晴雨录,农业技术,防灾技术,汉朝,暂无,汉朝时期编纂的《晴雨录》是一种天气记录和预测技术，用于指导农业生产和防灾减灾工作。《晴雨录》通过系统观测和记录天象变化，预测降水情况和气候变化，帮助农民科学安排田间作业时间和农作物的种植季节，提高了农业生产的适应性和效率。,晴雨录通过系统记录气象现象和天气变化，为古代农业生产和防灾减灾提供了科学数据支持，其贡献不仅提高了当时对自然灾害的预警和调控能力，还对后世气象学理论和农事规划制度的完善产生了积极影响，推动了防灾科技的进步和社会治理水平的提升。,","
雨雪分寸制度,农业技术,防灾技术,唐朝,暂无,唐朝时期实行的雨雪分寸制度，是一种紧密结合气象条件制定的农业防灾技术。雨雪分寸制度根据降水量和降雪量的多少，及时调整农作物的灌溉和排水措施，防止因降水过多或过少导致的灾害，保障了农作物的正常生长和收成，对于提高农业生产的稳定性和可靠性有重要意义。,雨雪分寸制度以定量衡量雨雪降水为核心，通过建立标准化的测量体系指导农业灌溉和防灾救灾，其应用不仅在当时帮助农民科学安排农时和资源分配，还为后代气象监测和水资源管理提供了制度依据和实践模式，对现代防灾减灾体系的构建产生了深远而积极的影响。,","
粮价奏报制度,农业技术,防灾技术,唐朝,暂无,唐朝时期实行的粮价奏报制度，是一种监控和调节粮食市场的防灾技术措施。粮价奏报制度通过定期奏报粮食市场价格和供应情况，及时调整政府粮食储备和物资调配，保障了粮食市场的稳定和人民的生活安全，对于维护社会秩序和农民利益具有重要作用。,粮价奏报制度通过建立完善的粮食价格上报和反馈机制，使得中央政权能够及时掌握各地粮食市场动态，预测可能出现的粮食短缺和价格波动，进而制定调控政策，稳定民生经济和社会秩序，该制度不仅在当时缓解了因灾荒引起的经济混乱，更为后世完善粮食调控机制和防灾减灾管理体系提供了重要理论基础和实践经验。,","
束水攻沙,农业技术,防灾技术,汉朝,暂无,汉朝时期采用的束水攻沙技术，是一种有效的河流治理和防灾措施。束水攻沙通过修建堤坝、挖掘河道、引导水流等手段，防止河流泛滥和水土流失，保护农田和居民安全，是古代水利工程中的重要技术之一，对于促进农业生产和社会经济发展具有重要意义。,束水攻沙技术采用控制水流与集水措施，有效遏制了沙漠侵蚀和土地盐碱化现象，改善了边际耕地的自然生态环境，其推广不仅增强了农业抗旱防沙能力，保障了粮食生产的持续稳定，还对后代水利工程建设和土地治理理念的创新产生了深远影响，成为古代防灾减灾和生态农业发展中的重要实践范例。,","
荒政十二,农业技术,防灾技术,唐朝,暂无,唐朝时期实施的荒政十二，是一套综合性的防灾措施和灾后救助政策。荒政十二包括土地免役、减税赈济、灾害救助、社会安抚等措施，旨在帮助农民度过自然灾害带来的困境，维护社会稳定和人民生活，对于加强政府与民众之间的联系和信任具有重要作用。,荒政十二作为一系列针对荒地治理和灾害管理的综合政策措施，通过规范和优化农政管理、资源调配和民生保障机制，有效促进了农田恢复与农业生产重建，该政策体系不仅在当时提升了政府应对自然灾害和经济危机的能力，而且为后代完善国家防灾减灾与农村治理体制提供了宝贵的制度经验和历史启示。,","
