名称,所属类别,2级类别,别称,出现时期,创作者,主要用途,概述,古籍记载,出现/主要使用地点,人为地点,经纬度
水磨,农具,加工农具,水转磨,最早出现于晋,范蠡,水磨的动能系统创新体现在水力-齿轮传动装置，铸铁立轴连接直径3米卧式水轮，通过32齿木齿轮组将转速提升至每分钟30转。双磨盘配置可实现双向旋转研磨，配合自动进料斗形成连续加工流程，单日面粉产量达500公斤，功率输出相当于10匹马力，较畜力磨坊效率提升15倍。,水磨是古代机械工程技术与水利技术相结合的杰出成果。它极大地提高了谷物加工的效率，节省了人力和畜力，使大规模的粮食加工成为可能，促进了古代粮食加工业的发展。,晋代的《魏书·崔亮传》中有关于水磨的记载，描述了当时水磨的使用情况。,黄河流域、长江流域等水系发达地区,甘肃;兰州市,"109.49,34.26"
纺车,农具,加工农具,称軠车、纬车、繀车,约出现在战国时期,古代劳动人民（无确切记载）,纺车的技术创新在于捻线-卷绕同步系统，木制锭轮直径40厘米，通过皮带传动使纱锭转速达每分钟800转。脚踏曲柄机构实现双手自由操作，牵引轮与纱锭速比1:20的设计确保纱线均匀加捻。熟练工每小时纺纱长度达300米，纱线强度提升40%，细度偏差控制在±5%以内，显著提高纺织效率与质量。,提高了纺纱效率，促进了纺织业的发展，推动了农业生产的发展，为人类提供了衣物、布料和纺织品，是古代文明进步的重要标志之一。,最早见于西汉扬雄的《方言》，记有“繀车”和“道轨”。,中国后传入欧洲,上海,"121.57,29.87"
杆秤,农具,称量农具,秤杆,约春秋时期,古代劳动人民（无确切记载）,杆秤的精密计量依赖等臂杠杆原理，紫檀木秤杆长60厘米，刻有120个精细星点。铜制秤砣采用密度8.9g/cm³的合金材质，通过滑动配重实现0-50公斤量程覆盖。双提纽设计可切换1:50和1:100两种量程，最小分度值5克，测量误差率低于0.3%，满足古代市场贸易的精准计量需求。,杆秤的出现促进了商品交易的公平进行，是商业活动中不可或缺的工具，推动了古代商业的发展。,《墨子·经说下》中有关于衡器的记载，这可以看作是早期对杆秤原理相关内容的记载。,传说是由被后人誉为商圣的范蠡受农人井旁竖桩吊桶汲水启发而发明,河南;南阳市,"100.23,25.61"
斜斗,农具,称量农具,斜量斗、斜斛,汉代,古代劳动人民（无确切记载）,斜斗（科斗）的流体计量特性基于特定倾角设计，梯形斗体容积1升，出料口倾斜55°。当粮食流经时，倾角产生的重力分力使物料形成稳定流态，配合振动装置实现±2%的装填精度。内壁抛光处理降低摩擦系数，配合标准量器校验，可实现每小时500次快速计量，重复性误差小于0.5%。,衡量公平交易的工具，尤其在粮食和酒类交易中，确保买卖双方的公平。,《汉书》《宋史》,古代中原地区，如河南、陕西、山东等地,陕西;宝鸡市,"115.62,34.75"
粮探,农具,称量农具,无,先秦时期,古代劳动人民（无确切记载）,粮探的深层检测功能依赖特殊探杆结构，青铜探管长1.5米，直径3厘米，管壁开设螺旋取样窗。插入粮堆时，内部活塞装置可分段采取不同深度样品。管尖密度传感器通过配重块位移指示堆积密度，配合刻度标尺实现3米深粮堆的质量估算，测量误差控制在±5%以内，为仓储管理提供科学依据。,储粮检测长杆状工具，通过分层取样监测粮堆温湿度，预防霉变保障仓储安全。,"明代《天工开物》记载""以铁为尖锥，验仓储虚实""，用于粮堆质量检测。",华北官仓粮储处,河北;沧州市,"107.15,34.38"
秤钩,农具,称量农具,无,夏朝时期,古代劳动人民（无确切记载）,秤钩的力学设计优化承重分布，熟铁锻造钩体采用抛物线曲面，开口角度72°确保悬挂稳定性。双钩结构形成力偶平衡，可承载200公斤负荷时保持垂直受力。钩颈加强筋设计使应力集中系数降低至1.2，配合防滑纹处理，在潮湿环境下仍能保持货物稳固悬挂，确保称量过程安全准确。,首先，它是衡器的重要组成部分，使得重量测量成为可能。其次，秤钩的制作和使用体现了古代劳动人民的智慧和技艺。最后，秤钩还承载了一定的文化内涵和象征意义，如被视为龙的化身（秤钩为龙嘴）等。,"元代《王祯农书》""农器图谱""载有带钩衡器，用于称量粮袋、农资等重物。",南北农贸市集,江苏;徐州市,"116.85,38.31"
升,农具,称量农具,升子,先秦时期,古代劳动人民（无确切记载）,升作为标准量器的核心价值在于容积恒定，官方标准升容积为202.15立方厘米，采用致密楠木拼接成型。内腔经24道抛光工序达到镜面精度，水温20℃时以小米校准，装满刮平后误差不超过±0.3%。侧壁镶嵌铜质防篡改封条，底部设置温度膨胀补偿槽，确保度量衡制度的长期稳定性。,升”的存在具有重要意义。首先，它是古代农业生产中不可或缺的工具之一，帮助人们准确地计量谷物的收获和分配，促进了农业生产的规范化。其次，“升”作为容量单位的使用，为商品交换和农业赋税的计算提供了标准，推动了社会经济的繁荣。最后，“升”还承载了一定的文化内涵和象征意义，如被视为丰收和富足的象征等。,《汉书·律历志上》中提到：“量者，龠、合、升、斗、斛也，所以量多少也。”,南北农贸市集,安徽;亳州市,"117.22,34.26"
斗,农具,称量农具,斗子,春秋战国时期,古代劳动人民（无确切记载）,斗作为标准量器的核心作用体现在其精密容积控制，官方标准斗采用楠木拼接工艺，内腔容积1000立方厘米（30×20×16.6cm），内壁涂刷生漆形成防吸附层。底部设置温度补偿铜片，确保在-10℃至40℃环境内容积变化不超过0.5%。五面校准时使用粒径1.2-1.5mm的黍粒填充，刮平后误差控制在±0.8克，成为古代赋税征收与市场交易的核心计量基准。,首先，它是古代农业生产中不可或缺的工具之一，帮助农民们准确地衡量粮食产量，促进了农业生产的规范化。其次，斗作为统一度量衡的重要工具，有助于商业活动的公平交易和市场秩序的稳定。最后，斗还承载了一定的文化内涵和象征意义，如被视为公平、公正的象征等。,《说文解字》中提到：“斗，十升也。”《齐民要术》等农书中也有大量关于斗的使用记载。,南北农贸市集,河南;商丘市,"115.82,33.62"
斛,农具,称量农具,无,商晚期至西周早期,古代劳动人民（无确切记载）,斛的计量创新在于可调节式结构设计，其梯台形容器上口边长40厘米、下底35厘米、高30厘米，侧壁设置活动插板实现50-100升容积调节。内壁嵌有铜制刻度标尺（精度±0.5升），底板采用弹簧悬挂系统自动补偿谷物堆积角度差异。特殊设计的防作弊锁扣机构需两把钥匙同时开启，确保官仓收储时计量误差率低于1.5%。,觥作为古代酒器，不仅具有实用性，还承载着丰富的文化内涵和象征意义。它是古代宫廷和贵族宴饮活动中不可或缺的一部分，体现了古代社会的礼仪和风俗。同时，觥的制作工艺和造型艺术也反映了古代工匠的智慧和技艺水平。在现代社会，虽然觥已经不再是常用的酒器，但它作为文化遗产的一部分，仍然具有重要的历史和文化价值。,《诗经》中就有“我姑酌彼兕觥，维以不永伤”的诗句。《醉翁亭记》中的“觥筹交错。,主要使用于商代和西周早期的中原地区,河南;安阳市,"115.65,34.75"
蚕箔,农具,其他农具,蚕薄、蚕匾,春秋战国时代,古代劳动人民（无确切记载）,蚕箔在蚕业养殖中发挥立体化饲育功能，竹编器具长2米、宽1.2米，孔径0.3厘米的六边形网格结构保证通风率65%。多层叠放时层间距保持15厘米，配合石灰涂层使湿度稳定在75%±5%。其弹性框架可承载3公斤蚕体重量，特殊边缘导流槽设计使蚕沙自动汇集清除，蚕座利用率提升至传统平面养殖的300%。,蚕箔的存在对于古代中国的蚕桑业具有重要意义。它不仅是养蚕过程中不可或缺的工具，还促进了蚕桑业的发展和繁荣。蚕箔的使用提高了养蚕的效率，使得蚕茧的产量和质量都得到了提升。同时，蚕箔的制作和使用也推动了相关手工业和农业技术的发展,《东鲁王氏农书·农器图谱》,浙江、江苏、四川,浙江;嘉兴市,"120.75,30.75"
缫车,农具,其他农具,缫丝车,战国时期,古代劳动人民（无确切记载）,缫车的技术创新体现在蚕丝卷绕控制系统，木制卷取辊直径15厘米，通过曲柄齿轮组实现1:8增速比。操作时水温维持60℃，丝鞘通过瓷眼导丝器均匀排列，卷绕速度达每分钟120转。差速装置使丝片厚度偏差小于0.2毫米，8绪同时缫丝日产丝量达500克，较手工缫丝效率提高10倍，丝纤度均匀度达92%。,缫车的存在对于古代中国的丝绸业具有重要意义。它不仅是丝绸生产过程中的关键工具，还推动了丝绸业的发展和繁荣。缫车的出现使得蚕丝的生产效率大大提高，从而满足了人们对丝绸的需求。同时，缫车的制作和使用也推动了相关手工业和农业技术的发展。,秦观在《蚕书》中详细描述了宋代缫车的形制和使用方法。,浙江、江苏、四川,江苏;无锡市,"120.28,30.53"
蚕簇,农具,其他农具,团簇、绳簇、苇簇、蜈蚣簇,北魏时期,古代劳动人民（无确切记载）,蚕簇的结茧优化功能源于仿生学设计，稻草制簇枝长30厘米，按45°角交叉排列形成7×7厘米六角形格室。簇架倾斜15°安装，配合顶部通风孔形成0.2m/s气流，使茧层含水率均匀降至18%。每立方米簇体可容纳500头熟蚕，上茧率提升至95%，茧形整齐度达85%，双宫茧率控制在3%以下。,蚕簇的存在对于古代中国的蚕桑业具有重要意义。它不仅是蚕吐丝结茧的必要工具，还推动了蚕桑业的发展和繁荣。蚕簇的使用提高了蚕茧的产量和质量，为丝绸的生产提供了充足的原料。同时，蚕簇的制作和使用也促进了相关手工业和农业技术的发展和创新,《齐民要术》,浙江、江苏、四川、山东,四川;南充市,"106.1,30.77"
驱雀幡,农具,其他农具,无,不详,古代劳动人民（无确切记载）,驱雀幡的防护机制基于多模态威慑原理，幡体采用红黄双色绸布（尺寸1.5×0.8米），表面涂覆反光鱼鳞粉。顶部安装铜制风铃，在3级风力下产生85分贝声响。杆体设置活动关节使幡面产生不规则摆动，有效驱赶半径达50米，田间实测降低雀害损失率从12%至2.5%，持续防护时间超过72小时。,驱雀幡的存在对于古代农业生产和粮食安全具有重要意义。它不仅可以有效地驱赶鸟雀，保护农作物和粮食免受侵害，还可以提高农业生产效率和质量。同时，驱雀幡也反映了古代人们对农业生产的重视和对自然环境的尊重。,"清代《农政全书》记作""惊鸟幡""，以彩布系竿驱赶啄食谷穗的禽鸟。",江南稻田,浙江;宁波市,"121.53,29.87"
竹弩,农具,其他农具,竹弓弩、竹制弩,不详,古代劳动人民（无确切记载）,竹弩的精准猎防功能依托复合储能结构，弩臂采用三层竹片复合胶合，储能达80焦耳。铜制扳机机构行程3毫米，配合望山刻度实现20-50米射程调节。箭矢装填速度每分钟4支，使用重25克三棱箭可在30米距离穿透3厘米厚木板，有效控制田间鼠雀等害兽，单次装填连发装置可连续射击3次，防护效率较传统弹弓提升5倍。,竹弩的存在对于古代狩猎文化和农业生产具有重要意义。它不仅是一种实用的狩猎工具，提高了人们的狩猎效率和安全性，还在一定程度上保护了农作物免受野兽和鸟类的侵害。此外，竹弩的制作和使用也促进了相关手工业和竹产业的发展。,《蛮书》,云南、贵州、广西等地区的少数民族中,云南;大理州,"100.23,25.61"
